"","TC_rank","Country","TC","AvgArtCit","Articles","SCP","MCP","MCP_Ratio"
"1",24,"CROATIA        ",197,98.5,2,0,2,1
"2",37,"OMAN           ",68,68,1,0,1,1
"3",29,"LIECHTENSTEIN  ",128,64,2,2,0,0
"4",5,"NETHERLANDS    ",1356,50.22,27,21,6,0.222
"5",19,"SAUDI ARABIA   ",337,48.14,7,4,3,0.429
"6",20,"MALAYSIA       ",319,45.57,7,3,4,0.571
"7",15,"AUSTRIA        ",395,43.89,9,6,3,0.333
"8",44,"NAMIBIA        ",42,42,1,0,1,1
"9",1,"USA            ",12917,38.44,336,273,63,0.188
"10",7,"ITALY          ",1057,37.75,28,20,8,0.286
"11",11,"SINGAPORE      ",600,37.5,16,10,6,0.375
"12",3,"UNITED KINGDOM ",2768,33.35,83,44,39,0.47
"13",14,"BELGIUM        ",430,33.08,13,6,7,0.538
"14",12,"SWEDEN         ",549,32.29,17,7,10,0.588
"15",18,"FINLAND        ",344,31.27,11,7,4,0.364
"16",22,"NORWAY         ",217,31,7,4,3,0.429
"17",46,"U ARAB EMIRATES",30,30,1,0,1,1
"18",27,"PORTUGAL       ",156,26,6,6,0,0
"19",21,"IRELAND        ",276,25.09,11,6,5,0.455
"20",8,"INDIA          ",942,24.79,38,24,14,0.368
"21",4,"CANADA         ",1376,24.57,56,29,27,0.482
"22",50,"VENEZUELA      ",23,23,1,0,1,1
"23",25,"SWITZERLAND    ",160,22.86,7,3,4,0.571
"24",2,"CHINA          ",3071,22.58,136,86,50,0.368
"25",39,"QATAR          ",61,20.33,3,2,1,0.333
"26",13,"GREECE         ",475,19,25,20,5,0.2
"27",35,"SERBIA         ",76,19,4,2,2,0.5
"28",16,"BRAZIL         ",383,18.24,21,16,5,0.238
"29",9,"GERMANY        ",719,17.54,41,29,12,0.293
"30",28,"POLAND         ",136,17,8,5,3,0.375
"31",23,"FRANCE         ",207,15.92,13,3,10,0.769
"32",17,"KOREA          ",365,15.87,23,13,10,0.435
"33",47,"JORDAN         ",29,14.5,2,1,1,0.5
"34",36,"CZECH REPUBLIC ",72,14.4,5,3,2,0.4
"35",6,"SPAIN          ",1121,14.19,79,66,13,0.165
"36",33,"CHILE          ",98,14,7,1,6,0.857
"37",30,"JAPAN          ",123,13.67,9,1,8,0.889
"38",40,"ESTONIA        ",54,13.5,4,2,2,0.5
"39",26,"ROMANIA        ",158,13.17,12,10,2,0.167
"40",32,"ISRAEL         ",104,13,8,7,1,0.125
"41",10,"AUSTRALIA      ",609,12.69,48,38,10,0.208
"42",34,"SLOVAKIA       ",80,11.43,7,3,4,0.571
"43",38,"DENMARK        ",65,10.83,6,3,3,0.5
"44",43,"COLOMBIA       ",42,10.5,4,1,3,0.75
"45",51,"PERU           ",19,9.5,2,1,1,0.5
"46",45,"RUSSIA         ",37,9.25,4,3,1,0.25
"47",42,"SOUTH AFRICA   ",46,9.2,5,2,3,0.6
"48",31,"TURKEY         ",116,8.29,14,12,2,0.143
"49",57,"TUNISIA        ",8,8,1,1,0,0
"50",52,"ICELAND        ",13,6.5,2,1,1,0.5
"51",48,"MEXICO         ",25,6.25,4,2,2,0.5
"52",49,"PAKISTAN       ",24,6,4,2,2,0.5
"53",53,"LITHUANIA      ",12,6,2,1,1,0.5
"54",41,"IRAN           ",46,5.75,8,6,2,0.25
"55",54,"ECUADOR        ",11,5.5,2,0,2,1
"56",55,"IRAQ           ",11,5.5,2,0,2,1
"57",61,"HUNGARY        ",5,5,1,1,0,0
"58",62,"KENYA          ",5,5,1,0,1,1
"59",63,"KUWAIT         ",5,5,1,1,0,0
"60",65,"VIETNAM        ",5,5,1,0,1,1
"61",67,"GUATEMALA      ",4,4,1,0,1,1
"62",58,"SLOVENIA       ",7,3.5,2,2,0,0
"63",56,"NEW ZEALAND    ",9,3,3,3,0,0
"64",60,"EGYPT          ",5,2.5,2,1,1,0.5
"65",64,"NIGERIA        ",5,2.5,2,2,0,0
"66",59,"THAILAND       ",7,2.33,3,2,1,0.333
"67",66,"ALGERIA        ",4,2,2,1,1,0.5
"68",68,"CYPRUS         ",2,2,1,1,0,0
"69",69,"ARGENTINA      ",1,0.5,2,0,2,1
"70",70,"SRI LANKA      ",0,0,1,1,0,0
